id,t,d,wc_exp,bc_exp,edu,lnwage
1,1,3,0,0,11,
1,2,3,0,0,12,
1,3,3,0,0,13,
1,4,3,0,0,14,
1,5,3,0,0,15,
1,6,3,0,0,16,
1,7,1,1,0,16,
1,8,1,2,0,16,
1,9,1,3,0,16,
1,10,1,4,0,16,9.9635477
1,11,1,5,0,16,9.7888842
2,1,3,0,0,10,
2,2,3,0,0,11,
2,3,3,0,0,12,
2,4,3,0,0,13,
2,5,3,0,0,14,
2,6,3,0,0,15,
2,7,2,0,1,15,
2,8,2,0,2,15,
2,9,2,0,3,15,
2,10,4,0,3,15,
2,11,2,0,4,15,
3,1,3,0,0,11,
3,2,3,0,0,12,
3,3,3,0,0,13,
3,4,3,0,0,14,
3,5,3,0,0,15,
3,6,3,0,0,16,
3,7,3,0,0,17,
3,8,1,1,0,17,
3,9,1,2,0,17,9.6661816
3,10,2,2,1,17,10.03254
3,11,2,2,2,17,
4,1,3,0,0,11,
4,2,3,0,0,12,
4,3,3,0,0,13,
4,4,3,0,0,14,
4,5,3,0,0,15,
4,6,1,1,0,15,10.119969
4,7,1,2,0,15,10.794091
4,8,1,3,0,15,10.359329
4,9,1,4,0,15,10.879838
4,10,1,5,0,15,10.522854
4,11,1,6,0,15,11.06873
5,1,2,0,1,9,
5,2,2,0,2,9,8.5475864
5,3,3,0,2,10,
5,4,3,0,2,11,
5,5,3,0,2,12,
5,6,3,0,2,13,
5,7,3,0,2,14,
5,8,2,0,3,14,10.076567
5,9,1,1,3,14,11.436455
5,10,3,1,3,15,
5,11,2,1,4,15,10.924715
6,1,3,0,0,10,
6,2,3,0,0,11,
6,3,3,0,0,12,
6,4,3,0,0,13,
6,5,3,0,0,14,
6,6,1,1,0,14,9.4723358
6,7,3,1,0,15,
6,8,3,1,0,16,
6,9,1,2,0,16,8.9134159
6,10,1,3,0,16,8.8715057
6,11,1,4,0,16,11.579275
7,1,3,0,0,10,
7,2,3,0,0,11,
7,3,2,0,1,11,
7,4,2,0,2,11,8.5475864
7,5,2,0,3,11,
7,6,3,0,3,12,
7,7,3,0,3,13,
7,8,3,0,3,14,
7,9,3,0,3,15,
7,10,4,0,3,15,
7,11,2,0,4,15,
8,1,3,0,0,10,
8,2,3,0,0,11,
8,3,2,0,1,11,
8,4,3,0,1,12,
8,5,2,0,2,12,8.835269
8,6,2,0,3,12,10.145669
8,7,3,0,3,13,
8,8,3,0,3,14,
8,9,3,0,3,15,
8,10,3,0,3,16,
8,11,1,1,3,16,10.859325
9,1,3,0,0,10,
9,2,3,0,0,11,
9,3,3,0,0,12,
9,4,3,0,0,13,
9,5,3,0,0,14,
9,6,2,0,1,14,
9,7,2,0,2,14,
9,8,2,0,3,14,10.948242
9,9,2,0,4,14,10.947116
9,10,2,0,5,14,10.879838
9,11,2,0,6,14,11.088167
10,1,3,0,0,10,
10,2,3,0,0,11,
10,3,3,0,0,12,
10,4,3,0,0,13,
10,5,3,0,0,14,
10,6,1,1,0,14,9.0023317
10,7,2,1,1,14,9.3095064
10,8,2,1,2,14,10.620327
10,9,1,2,2,14,11.185542
10,10,1,3,2,14,11.305119
10,11,1,4,2,14,11.356132
11,1,3,0,0,10,
11,2,3,0,0,11,
11,3,3,0,0,12,
11,4,3,0,0,13,
11,5,3,0,0,14,
11,6,2,0,1,14,7.5752153
11,7,2,0,2,14,10.829332
11,8,2,0,3,14,10.790226
11,9,2,0,4,14,10.887497
11,10,2,0,5,14,11.046257
11,11,2,0,6,14,11.090428
12,1,3,0,0,10,
12,2,2,0,1,10,
12,3,3,0,1,11,
12,4,3,0,1,12,
12,5,3,0,1,13,
12,6,3,0,1,14,
12,7,3,0,1,15,
12,8,3,0,1,16,
12,9,1,1,1,16,11.068449
12,10,1,2,1,16,11.224819
12,11,1,3,1,16,11.262693
13,1,3,0,0,10,
13,2,2,0,1,10,9.0950413
13,3,2,0,2,10,9.3948841
13,4,2,0,3,10,10.433351
13,5,2,0,4,10,10.407651
13,6,2,0,5,10,10.85863
13,7,2,0,6,10,10.860105
13,8,3,0,6,11,
13,9,3,0,6,12,
13,10,3,0,6,13,
13,11,3,0,6,14,
14,1,2,0,1,10,6.8516083
14,2,2,0,2,10,8.4454823
14,3,4,0,2,10,
14,4,1,1,2,10,
14,5,2,1,3,10,
14,6,2,1,4,10,
14,7,4,1,4,10,
14,8,2,1,5,10,
14,9,2,1,6,10,10.764794
14,10,2,1,7,10,11.01337
14,11,2,1,8,10,11.110641
15,1,3,0,0,10,
15,2,3,0,0,11,
15,3,3,0,0,12,
15,4,3,0,0,13,
15,5,3,0,0,14,
15,6,3,0,0,15,
15,7,2,0,1,15,10.570948
15,8,2,0,2,15,10.56227
15,9,2,0,3,15,10.725687
15,10,2,0,4,15,10.941564
15,11,2,0,5,15,10.950947
16,1,3,0,0,11,
16,2,2,0,1,11,9.0950413
16,3,3,0,1,12,
16,4,3,0,1,13,
16,5,3,0,1,14,
16,6,1,1,1,14,8.1813507
16,7,1,2,1,14,10.764794
16,8,3,2,1,15,
16,9,4,2,1,15,
16,10,1,3,1,15,
16,11,1,4,1,15,12.06575
17,1,3,0,0,10,
17,2,3,0,0,11,
17,3,1,1,0,11,10.076676
17,4,2,1,1,11,
17,5,2,1,2,11,
17,6,2,1,3,11,
17,7,2,1,4,11,
17,8,2,1,5,11,8.2202682
17,9,2,1,6,11,
17,10,4,1,6,11,
17,11,4,1,6,11,
18,1,3,0,0,10,
18,2,1,1,0,10,
18,3,1,2,0,10,
18,4,3,2,0,11,
18,5,3,2,0,12,
18,6,2,2,1,12,8.8643637
18,7,3,2,1,13,
18,8,3,2,1,14,
18,9,2,2,2,14,10.695774
18,10,2,2,3,14,10.531672
18,11,4,2,3,14,
19,1,3,0,0,9,
19,2,3,0,0,10,
19,3,3,0,0,11,
19,4,3,0,0,12,
19,5,3,0,0,13,
19,6,3,0,0,14,
19,7,3,0,0,15,
19,8,3,0,0,16,
19,9,3,0,0,17,
19,10,3,0,0,18,
19,11,3,0,0,19,
20,1,3,0,0,9,
20,2,3,0,0,10,
20,3,3,0,0,11,
20,4,3,0,0,12,
20,5,3,0,0,13,
20,6,3,0,0,14,
20,7,1,1,0,14,
20,8,3,1,0,15,
20,9,3,1,0,16,
20,10,1,2,0,16,11.356412
20,11,1,3,0,16,11.132988
21,1,3,0,0,10,
21,2,3,0,0,11,
21,3,3,0,0,12,
21,4,3,0,0,13,
21,5,3,0,0,14,
21,6,1,1,0,14,
21,7,1,2,0,14,11.455018
21,8,1,3,0,14,11.909847
21,9,1,4,0,14,11.618496
21,10,1,5,0,14,12.105322
21,11,1,6,0,14,11.68555
22,1,3,0,0,9,
22,2,3,0,0,10,
22,3,3,0,0,11,
22,4,3,0,0,12,
22,5,3,0,0,13,
22,6,3,0,0,14,
22,7,3,0,0,15,
22,8,3,0,0,16,
22,9,2,0,1,16,
22,10,3,0,1,17,
22,11,2,0,2,17,10.39502
23,1,3,0,0,10,
23,2,2,0,1,10,9.1537228
23,3,3,0,1,11,
23,4,3,0,1,12,
23,5,3,0,1,13,
23,6,2,0,2,13,9.4177208
23,7,1,1,2,13,
23,8,2,1,3,13,10.859325
23,9,2,1,4,13,11.232359
23,10,2,1,5,13,10.817135
23,11,2,1,6,13,9.9438858
24,1,3,0,0,9,
24,2,3,0,0,10,
24,3,3,0,0,11,
24,4,3,0,0,12,
24,5,3,0,0,13,
24,6,3,0,0,14,
24,7,1,1,0,14,10.076567
24,8,1,2,0,14,11.133268
24,9,1,3,0,14,11.17381
24,10,1,4,0,14,11.243169
24,11,1,5,0,14,11.378525
25,1,3,0,0,10,
25,2,3,0,0,11,
25,3,3,0,0,12,
25,4,3,0,0,13,
25,5,3,0,0,14,
25,6,3,0,0,15,
25,7,3,0,0,16,
25,8,3,0,0,17,
25,9,2,0,1,17,10.502543
25,10,2,0,2,17,10.137191
25,11,2,0,3,17,10.845587
26,1,3,0,0,10,
26,2,3,0,0,11,
26,3,2,0,1,11,
26,4,3,0,1,12,
26,5,3,0,1,13,
26,6,2,0,2,13,10.268929
26,7,1,1,2,13,10.29971
26,8,1,2,2,13,10.397562
26,9,1,3,2,13,10.397281
26,10,1,4,2,13,10.701571
26,11,1,5,2,13,10.685378
27,1,3,0,0,10,
27,2,2,0,1,10,
27,3,2,0,2,10,
27,4,2,0,3,10,10.327991
27,5,2,0,4,10,
27,6,2,0,5,10,
27,7,2,0,6,10,10.730892
27,8,2,0,7,10,10.582586
27,9,2,0,8,10,10.705175
27,10,2,0,9,10,10.629363
27,11,2,0,10,10,10.662984
28,1,3,0,0,10,
28,2,3,0,0,11,
28,3,3,0,0,12,
28,4,3,0,0,13,
28,5,3,0,0,14,
28,6,2,0,1,14,10.320222
28,7,2,0,2,14,10.800486
28,8,2,0,3,14,10.999737
28,9,2,0,4,14,
28,10,2,0,5,14,10.973505
28,11,2,0,6,14,10.908522
29,1,3,0,0,10,
29,2,3,0,0,11,
29,3,3,0,0,12,
29,4,3,0,0,13,
29,5,3,0,0,14,
29,6,3,0,0,15,
29,7,2,0,1,15,
29,8,2,0,2,15,11.213744
29,9,2,0,3,15,11.08569
29,10,2,0,4,15,10.992857
29,11,2,0,5,15,11.06873
30,1,3,0,0,11,
30,2,3,0,0,12,
30,3,3,0,0,13,
30,4,3,0,0,14,
30,5,3,0,0,15,
30,6,3,0,0,16,
30,7,3,0,0,17,
30,8,3,0,0,18,
30,9,1,1,0,18,9.5217142
30,10,2,1,1,18,
30,11,4,1,1,18,
31,1,3,0,0,10,
31,2,3,0,0,11,
31,3,3,0,0,12,
31,4,3,0,0,13,
31,5,3,0,0,14,
31,6,2,0,1,14,8.8676739
31,7,2,0,2,14,11.236513
31,8,2,0,3,14,11.110641
31,9,2,0,4,14,10.817415
31,10,1,1,4,14,11.17381
31,11,1,2,4,14,11.042498
32,1,3,0,0,10,
32,2,3,0,0,11,
32,3,3,0,0,12,
32,4,3,0,0,13,
32,5,3,0,0,14,
32,6,3,0,0,15,
32,7,3,0,0,16,
32,8,3,0,0,17,
32,9,2,0,1,17,
32,10,2,0,2,17,
32,11,2,0,3,17,9.9276924
33,1,3,0,0,10,
33,2,3,0,0,11,
33,3,3,0,0,12,
33,4,2,0,1,12,
33,5,3,0,1,13,
33,6,3,0,1,14,
33,7,3,0,1,15,
33,8,1,1,1,15,9.2498884
33,9,1,2,1,15,10.899653
33,10,1,3,1,15,10.817135
33,11,1,4,1,15,11.187079
34,1,3,0,0,10,
34,2,3,0,0,11,
34,3,3,0,0,12,
34,4,2,0,1,12,9.7881889
34,5,2,0,2,12,9.9338808
34,6,2,0,3,12,10.327991
34,7,2,0,4,12,9.7145042
34,8,2,0,5,12,10.794091
34,9,1,1,5,12,10.947116
34,10,1,2,5,12,11.131152
34,11,1,3,5,12,11.110641
35,1,3,0,0,9,
35,2,3,0,0,10,
35,3,3,0,0,11,
35,4,3,0,0,12,
35,5,3,0,0,13,
35,6,3,0,0,14,
35,7,3,0,0,15,
35,8,1,1,0,15,
35,9,1,2,0,15,8.9322128
35,10,2,2,1,15,10.656694
35,11,2,2,2,15,10.705175
36,1,2,0,1,9,
36,2,2,0,2,9,
36,3,2,0,3,9,
36,4,2,0,4,9,9.7402039
36,5,2,0,5,9,9.9768686
36,6,2,0,6,9,
36,7,2,0,7,9,10.136186
36,8,2,0,8,9,
36,9,2,0,9,9,9.5012026
36,10,2,0,10,9,
36,11,2,0,11,9,
37,1,3,0,0,10,
37,2,3,0,0,11,
37,3,3,0,0,12,
37,4,3,0,0,13,
37,5,3,0,0,14,
37,6,3,0,0,15,
37,7,2,0,1,15,
37,8,2,0,2,15,
37,9,2,0,3,15,
37,10,2,0,4,15,
37,11,2,0,5,15,9.1655521
38,1,3,0,0,10,
38,2,3,0,0,11,
38,3,2,0,1,11,
38,4,2,0,2,11,
38,5,1,1,2,11,
38,6,1,2,2,11,10.320222
38,7,1,3,2,11,10.522854
