id,t,d,wc_exp,bc_exp,edu,lnwage
1,1,3,0,0,11,
1,2,3,0,0,12,
1,3,3,0,0,13,
1,4,3,0,0,14,
1,5,3,0,0,15,
1,6,3,0,0,16,
1,7,2,0,1,16,8.7498913
1,8,2,0,2,16,9.6270752
1,9,2,0,3,16,10.29971
1,10,2,0,4,16,10.788428
1,11,3,0,4,17,
2,1,3,0,0,10,
2,2,3,0,0,11,
2,3,3,0,0,12,
2,4,3,0,0,13,
2,5,3,0,0,14,
2,6,1,1,0,14,8.0860415
2,7,1,2,0,14,10.918944
2,8,1,3,0,14,11.131152
2,9,1,4,0,14,11.110641
2,10,1,5,0,14,11.909847
2,11,1,6,0,14,11.605592
3,1,3,0,0,10,
3,2,3,0,0,11,
3,3,2,0,1,11,8.1307659
3,4,3,0,1,12,
3,5,3,0,1,13,
3,6,3,0,1,14,
3,7,3,0,1,15,
3,8,1,1,1,15,8.6902723
3,9,1,2,1,15,
3,10,1,3,1,15,11.011291
3,11,1,4,1,15,
4,1,3,0,0,10,
4,2,3,0,0,11,
4,3,3,0,0,12,
4,4,3,0,0,13,
4,5,3,0,0,14,
4,6,3,0,0,15,
4,7,2,0,1,15,9.7614918
4,8,2,0,2,15,9.8093967
4,9,2,0,3,15,10.830338
4,10,2,0,4,15,10.727803
4,11,2,0,5,15,10.662984
5,1,3,0,0,10,
5,2,4,0,0,10,
5,3,2,0,1,10,7.4119186
5,4,2,0,2,10,
5,5,2,0,3,10,11.602648
5,6,2,0,4,10,
5,7,2,0,5,10,10.39502
5,8,2,0,6,10,
5,9,2,0,7,10,10.352829
5,10,2,0,8,10,10.231567
5,11,2,0,9,10,10.685378
6,1,3,0,0,10,
6,2,3,0,0,11,
6,3,3,0,0,12,
6,4,3,0,0,13,
6,5,3,0,0,14,
6,6,2,0,1,14,8.1050663
6,7,1,1,1,14,
6,8,1,2,1,14,8.0567436
6,9,1,3,1,14,10.03254
6,10,3,3,1,15,
6,11,3,3,1,16,
7,1,3,0,0,9,
7,2,3,0,0,10,
7,3,3,0,0,11,
7,4,3,0,0,12,
7,5,2,0,1,12,
7,6,3,0,1,13,
7,7,4,0,1,13,
7,8,3,0,1,14,
7,9,3,0,1,15,
7,10,4,0,1,15,
7,11,1,1,1,15,
8,1,3,0,0,11,
8,2,3,0,0,12,
8,3,2,0,1,12,10.076676
8,4,2,0,2,12,10.547413
8,5,2,0,3,12,10.528388
8,6,2,0,4,12,10.695801
8,7,2,0,5,12,10.656694
8,8,2,0,6,12,10.705175
8,9,2,0,7,12,10.817415
8,10,2,0,8,12,10.999456
8,11,2,0,9,12,11.147859
9,1,3,0,0,10,
9,2,3,0,0,11,
9,3,3,0,0,12,
9,4,3,0,0,13,
9,5,3,0,0,14,
9,6,2,0,1,14,8.9339275
9,7,1,1,1,14,9.6065626
9,8,1,2,1,14,10.663265
9,9,1,3,1,14,10.817135
9,10,1,4,1,14,11.085983
9,11,1,5,1,14,11.226975
10,1,3,0,0,10,
10,2,2,0,1,10,7.4376187
10,3,2,0,2,10,9.7145042
10,4,2,0,3,10,9.6954784
10,5,4,0,3,10,
10,6,2,0,4,10,10.03254
10,7,2,0,5,10,10.705175
10,8,2,0,6,10,10.817415
10,9,1,1,6,10,10.480662
10,10,1,2,6,10,10.493932
10,11,1,3,6,10,10.551847
11,1,3,0,0,10,
11,2,2,0,1,10,
11,3,2,0,2,10,
11,4,2,0,3,10,10.66785
11,5,2,0,4,10,10.733456
11,6,2,0,5,10,10.813116
11,7,2,0,6,10,10.528388
11,8,2,0,7,10,11.101266
11,9,2,0,8,10,11.236513
11,10,2,0,9,10,11.175179
11,11,2,0,10,10,11.269401
12,1,3,0,0,10,
12,2,3,0,0,11,
12,3,3,0,0,12,
12,4,3,0,0,13,
12,5,3,0,0,14,
12,6,1,1,0,14,8.536231
12,7,2,1,1,14,
12,8,2,1,2,14,11.081773
12,9,1,2,2,14,11.101266
12,10,1,3,2,14,11.195691
12,11,1,4,2,14,11.311311
13,1,3,0,0,10,
13,2,3,0,0,11,
13,3,3,0,0,12,
13,4,3,0,0,13,
13,5,3,0,0,14,
13,6,3,0,0,15,
13,7,3,0,0,16,
13,8,3,0,0,17,
13,9,3,0,0,18,
13,10,3,0,0,19,
13,11,1,1,0,19,10.662984
14,1,3,0,0,11,
14,2,3,0,0,12,
14,3,3,0,0,13,
14,4,3,0,0,14,
14,5,3,0,0,15,
14,6,1,1,0,15,9.0470562
14,7,1,2,0,15,8.3282099
14,8,2,2,1,15,11.03048
14,9,2,2,2,15,11.052476
14,10,1,3,2,15,11.418835
14,11,1,4,2,15,11.462861
15,1,3,0,0,9,
15,2,3,0,0,10,
15,3,3,0,0,11,
15,4,2,0,1,11,
15,5,2,0,2,11,9.9768686
15,6,2,0,3,11,9.8778009
15,7,3,0,3,12,
15,8,2,0,4,12,10.962076
15,9,3,0,4,13,
15,10,3,0,4,14,
15,11,2,0,5,14,
16,1,3,0,0,9,
16,2,3,0,0,10,
16,3,2,0,1,10,9.2407341
16,4,2,0,2,10,
16,5,2,0,3,10,10.877655
16,6,2,0,4,10,10.976413
16,7,2,0,5,10,11.170259
16,8,2,0,6,10,11.712387
16,9,2,0,7,10,12.024394
16,10,2,0,8,10,11.909847
16,11,2,0,9,10,11.356132
17,1,3,0,0,10,
17,2,3,0,0,11,
17,3,2,0,1,11,10.741405
17,4,2,0,2,11,9.7881889
17,5,2,0,3,11,10.444707
17,6,2,0,4,11,10.804914
17,7,2,0,5,11,10.779215
17,8,2,0,6,11,10.933853
17,9,2,0,7,11,10.904556
17,10,2,0,8,11,11.153131
17,11,1,1,8,11,11.398322
18,1,3,0,0,11,
18,2,3,0,0,12,
18,3,3,0,0,13,
18,4,3,0,0,14,
18,5,3,0,0,15,
18,6,3,0,0,16,
18,7,2,0,1,16,10.39502
18,8,2,0,2,16,10.663265
18,9,3,0,2,17,
18,10,3,0,2,18,
18,11,3,0,2,19,
19,1,3,0,0,10,
19,2,3,0,0,11,
19,3,3,0,0,12,
19,4,3,0,0,13,
19,5,3,0,0,14,
19,6,2,0,1,14,
19,7,2,0,2,14,9.7614918
19,8,2,0,3,14,10.415532
19,9,1,1,3,14,10.562075
19,10,1,2,3,14,10.817415
19,11,1,3,3,14,11.101239
20,1,3,0,0,9,
20,2,3,0,0,10,
20,3,2,0,1,10,8.5842161
20,4,3,0,1,11,
20,5,3,0,1,12,
20,6,3,0,1,13,
20,7,3,0,1,14,
20,8,1,1,1,14,
20,9,1,2,1,14,10.582586
20,10,2,2,2,14,11.255221
20,11,2,2,3,14,11.389202
21,1,3,0,0,11,
21,2,3,0,0,12,
21,3,2,0,1,12,
21,4,2,0,2,12,9.7881889
21,5,2,0,3,12,
21,6,1,1,3,12,
21,7,1,2,3,12,10.407651
21,8,2,2,4,12,
21,9,1,3,4,12,10.359329
21,10,1,4,4,12,11.236513
21,11,1,5,4,12,11.329329
22,1,3,0,0,11,
22,2,2,0,1,11,
22,3,3,0,1,12,
22,4,3,0,1,13,
22,5,3,0,1,14,
22,6,2,0,2,14,9.7907887
22,7,3,0,2,15,
22,8,1,1,2,15,10.656694
22,9,2,1,3,15,10.012028
22,10,2,1,4,15,10.557904
22,11,1,2,4,15,10.095
23,1,3,0,0,10,
23,2,3,0,0,11,
23,3,2,0,1,11,
23,4,1,1,1,11,8.1307659
23,5,3,1,1,12,
23,6,3,1,1,13,
23,7,2,1,2,13,10.359329
23,8,3,1,2,14,
23,9,2,1,3,14,10.830338
23,10,3,1,3,15,
23,11,3,1,3,16,
24,1,3,0,0,10,
24,2,3,0,0,11,
24,3,1,1,0,11,
24,4,1,2,0,11,10.193654
24,5,2,2,1,11,
24,6,2,2,2,11,11.186134
24,7,2,2,3,11,11.198174
24,8,2,2,4,11,11.651509
24,9,2,2,5,11,11.27562
24,10,2,2,6,11,10.543365
24,11,2,2,7,11,10.830338
25,1,3,0,0,10,
25,2,3,0,0,11,
25,3,3,0,0,12,
25,4,3,0,0,13,
25,5,2,0,1,13,10.253968
25,6,3,0,1,14,
25,7,2,0,2,14,10.482032
25,8,2,0,3,14,10.663265
25,9,2,0,4,14,10.817135
25,10,2,0,5,14,10.819354
25,11,2,0,6,14,10.83056
26,1,3,0,0,9,
26,2,3,0,0,10,
26,3,2,0,1,10,9.5920591
26,4,,0,1,10,
26,5,,0,1,10,10.540017
26,6,,0,1,10,10.656494
26,7,,0,1,10,10.547413
26,8,,0,1,10,10.794091
26,9,,0,1,10,10.829332
26,10,,0,1,10,10.908009
26,11,2,0,2,10,10.800486
27,1,3,0,0,10,
27,2,2,0,1,10,
27,3,2,0,2,10,10.193654
27,4,2,0,3,10,11.02014
27,5,2,0,4,10,
27,6,2,0,5,10,11.198174
27,7,2,0,6,10,11.081773
27,8,2,0,7,10,11.170259
27,9,2,0,8,10,11.195691
27,10,2,0,9,10,11.364421
27,11,2,0,10,10,11.322511
28,1,3,0,0,10,
28,2,3,0,0,11,
28,3,3,0,0,12,
28,4,3,0,0,13,
28,5,3,0,0,14,
28,6,2,0,1,14,
28,7,3,0,1,15,
28,8,2,0,2,15,
28,9,1,1,2,15,
28,10,1,2,2,15,10.157703
28,11,1,3,2,15,10.992857
29,1,3,0,0,10,
29,2,3,0,0,11,
29,3,3,0,0,12,
29,4,3,0,0,13,
29,5,3,0,0,14,
29,6,2,0,1,14,
29,7,2,0,2,14,10.813116
29,8,2,0,3,14,11.651509
29,9,2,0,4,14,11.213744
29,10,2,0,5,14,11.275734
29,11,2,0,6,14,11.255221
30,1,3,0,0,10,
30,2,2,0,1,10,8.1421213
30,3,3,0,1,11,
30,4,3,0,1,12,
30,5,3,0,1,13,
30,6,3,0,1,14,
30,7,1,1,1,14,
30,8,1,2,1,14,11.398322
30,9,1,3,1,14,11.213311
30,10,1,4,1,14,11.481295
30,11,1,5,1,14,11.455343
31,1,3,0,0,9,
31,2,3,0,0,10,
31,3,3,0,0,11,
31,4,3,0,0,12,
31,5,3,0,0,13,
31,6,3,0,0,14,
31,7,3,0,0,15,
31,8,3,0,0,16,
31,9,3,0,0,17,
31,10,3,0,0,18,
31,11,3,0,0,19,
32,1,3,0,0,9,
32,2,3,0,0,10,
32,3,3,0,0,11,
32,4,3,0,0,12,
32,5,3,0,0,13,
32,6,3,0,0,14,
32,7,3,0,0,15,
32,8,1,1,0,15,9.7888842
32,9,1,2,0,15,9.5646524
32,10,2,2,1,15,
32,11,1,3,1,15,10.231567
33,1,3,0,0,10,
33,2,2,0,1,10,6.569313
33,3,2,0,2,10,9.7515593
33,4,2,0,3,10,10.145669
33,5,2,0,4,10,
33,6,2,0,5,10,10.388626
33,7,1,1,5,10,10.541651
33,8,2,1,6,10,10.725687
33,9,1,2,6,10,
33,10,2,2,7,10,10.663265
33,11,2,2,8,10,10.662984
34,1,3,0,0,10,
34,2,2,0,1,10,
34,3,2,0,2,10,8.1050663
34,4,2,0,3,10,
34,5,4,0,3,10,
34,6,2,0,4,10,
34,7,2,0,5,10,
34,8,2,0,6,10,9.5646524
34,9,4,0,6,10,
34,10,4,0,6,10,
34,11,2,0,7,10,
35,1,2,0,1,9,
35,2,2,0,2,9,
35,3,2,0,3,9,8.1050663
35,4,2,0,4,9,
35,5,4,0,4,9,
35,6,2,0,5,9,
35,7,2,0,6,9,
35,8,2,0,7,9,9.5646524
35,9,4,0,7,9,
35,10,1,1,7,9,
35,11,1,2,7,9,
36,1,3,0,0,10,
36,2,2,0,1,10,
36,3,2,0,2,10,9.4268217
36,4,2,0,3,10,9.1846533
36,5,2,0,4,10,9.5608215
36,6,3,0,4,11,
36,7,3,0,4,12,
36,8,3,0,4,13,
36,9,3,0,4,14,
36,10,3,0,4,15,
36,11,2,0,5,15,9.9276924
37,1,3,0,0,9,
37,2,3,0,0,10,
37,3,2,0,1,10,8.690382
37,4,3,0,1,11,
37,5,2,0,2,11,9.6954784
37,6,3,0,2,12,
